"","first_name","last_name","team","position","adp","avg_price","gsis_id"
"1","A.J.","Brown","TEN","WR",25.5,33.7,"00-0035676"
"2","A.J.","Green","CIN","WR",164.3,0.5,"00-0027942"
"3","Aaron","Jones","GB","RB",12.2,50.5,"00-0033293"
"4","Aaron","Rodgers","GB","QB",49.8,12.7,"00-0023459"
"5","Adam","Thielen","MIN","WR",46.2,19,"00-0030035"
"6","Alexander","Mattison","MIN","RB",164.1,0.6,"00-0034972"
"7","Allen","Robinson","CHI","WR",34.1,26.3,"00-0031428"
"8","Alvin","Kamara","NO","RB",4.2,65.2,"00-0033906"
"9","Amari","Cooper","DAL","WR",41.1,20.1,"00-0031544"
"10","Antonio","Brown","TB","WR",112,2.9,"00-0027793"
"11","Antonio","Gibson","WAS","RB",19.1,43.4,"00-0036328"
"12","Austin","Ekeler","LAC","RB",14.4,47.5,"00-0033699"
"13","Austin","Hooper","CLE","TE",151.6,0.6,"00-0032392"
"14","Baker","Mayfield","CLE","QB",136,1.9,"00-0034855"
"15","Ben","Roethlisberger","PIT","QB",158,0.9,"00-0022924"
"16","Brandin","Cooks","HOU","WR",90.6,3.9,"00-0031236"
"17","Brandon","Aiyuk","SF","WR",64.6,11.8,"00-0036261"
"18","Calvin","Ridley","ATL","WR",20,39.6,"00-0034837"
"19","CeeDee","Lamb","DAL","WR",36.4,27.4,"00-0036358"
"20","Chase","Claypool","PIT","WR",78.5,6.5,"00-0036326"
"21","Chase","Edmonds","ARI","RB",63.9,10.7,"00-0034681"
"22","Chris","Carson","SEA","RB",44.5,21.8,"00-0033594"
"23","Chris","Godwin","TB","WR",47.3,18.1,"00-0033921"
"24","Christian","McCaffrey","CAR","RB",1.4,72.2,"00-0033280"
"25","Clyde","Edwards-Helaire","KC","RB",29.5,33.2,"00-0036360"
"26","Cole","Beasley","BUF","WR",134.1,1.3,"00-0029000"
"27","Cole","Kmet","CHI","TE",168.2,0.2,"00-0036290"
"28","Cooper","Kupp","LA","WR",50.7,16.8,"00-0033908"
"29","Corey","Davis","TEN","WR",109.3,2.9,"00-0033871"
"30","Courtland","Sutton","DEN","WR",84,6.1,"00-0034348"
"31","D'Andre","Swift","DET","RB",48.1,19.2,"00-0036275"
"32","D.J.","Chark","JAX","WR",114.5,2.1,"00-0034777"
"33","D.J.","Moore","CAR","WR",59.2,12.9,"00-0034827"
"34","Dak","Prescott","DAL","QB",58.5,10.2,"00-0033077"
"35","Dallas","Goedert","PHI","TE",100,2.2,"00-0034351"
"36","Dalvin","Cook","MIN","RB",2.7,67.3,"00-0033893"
"37","Damien","Harris","NE","RB",84.5,6.4,"00-0035657"
"38","Daniel","Jones","NYG","QB",168.1,0.3,"00-0035710"
"39","Darnell","Mooney","CHI","WR",152.5,1,"00-0036309"
"40","Darrell","Henderson","LA","RB",91.8,6.9,"00-0035664"
"41","Darren","Waller","LV","TE",25.1,33,"00-0031610"
"42","Davante","Adams","GB","WR",7.8,56.3,"00-0031381"
"43","David","Johnson","HOU","RB",147.3,1.1,"00-0032187"
"44","David","Montgomery","CHI","RB",36.5,25.7,"00-0035685"
"45","DeAndre","Hopkins","ARI","WR",18.2,41.7,"00-0030564"
"46","Deebo","Samuel","SF","WR",103.2,2.9,"00-0035719"
"47","Derek","Carr","LV","QB",166.7,0.5,"00-0031280"
"48","Derrick","Henry","TEN","RB",4.4,64.9,"00-0032764"
"49","Deshaun","Watson","HOU","QB",168.2,0.5,"00-0033537"
"50","DeVante","Parker","MIA","WR",151.3,0.9,"00-0031547"
"51","Devin","Singletary","BUF","RB",144.9,1.3,"00-0035250"
"52","Diontae","Johnson","PIT","WR",56.8,13.5,"00-0035216"
"53","DK","Metcalf","SEA","WR",18.8,40.6,"00-0035640"
"54","Eric","Ebron","PIT","TE",163.2,0.3,"00-0031387"
"55","Evan","Engram","NYG","TE",148.8,0.8,"00-0033881"
"56","Ezekiel","Elliott","DAL","RB",8.8,55.4,"00-0033045"
"57","George","Kittle","SF","TE",27.8,30.4,"00-0033288"
"58","Gus","Edwards","BAL","RB",116,6.5,"00-0034184"
"59","Henry","Ruggs","LV","WR",121.7,1.7,"00-0036357"
"60","Irv","Smith","MIN","TE",150.1,1.1,"00-0034970"
"61","J.D.","McKissic","WAS","RB",155.2,0.7,"00-0032602"
"62","Jakobi","Meyers","NE","WR",149.1,1,"00-0034960"
"63","Jalen","Hurts","PHI","QB",104.7,3.3,"00-0036389"
"64","Jalen","Reagor","PHI","WR",151.6,0.9,"00-0036387"
"65","Jameis","Winston","NO","QB",160.8,1,"00-0031503"
"66","James","Robinson","JAX","RB",37.2,25.3,"00-0035831"
"67","James","White","NE","RB",160.4,0.6,"00-0031062"
"68","Jamison","Crowder","NYJ","WR",166.9,0.3,"00-0031941"
"69","Jared","Cook","NO","TE",167.7,0.2,"00-0027061"
"70","Jarvis","Landry","CLE","WR",106.9,2.7,"00-0031382"
"71","Jerry","Jeudy","DEN","WR",76.1,7.3,"00-0036407"
"72","Joe","Burrow","CIN","QB",124.6,2.5,"00-0036442"
"73","Joe","Mixon","CIN","RB",26.2,35,"00-0033897"
"74","Jonathan","Taylor","IND","RB",12.4,49.6,"00-0036223"
"75","Josh","Allen","BUF","QB",30.2,23.7,"00-0034857"
"76","Josh","Jacobs","LV","RB",43.8,20.2,"00-0035700"
"77","JuJu","Smith-Schuster","PIT","WR",71.5,7.7,"00-0033857"
"78","Justin","Herbert","LAC","QB",68,8.7,"00-0036355"
"79","Justin","Jefferson","MIN","WR",25.8,35,"00-0036322"
"80","Kareem","Hunt","CLE","RB",63.1,11.2,"00-0033923"
"81","Keenan","Allen","LAC","WR",29.3,29.9,"00-0030279"
"82","Kenyan","Drake","ARI","RB",111.5,2.1,"00-0033118"
"83","Kirk","Cousins","MIN","QB",163.8,0.8,"00-0029604"
"84","Kyler","Murray","ARI","QB",40.9,16.3,"00-0035228"
"85","Lamar","Jackson","BAL","QB",47,14.5,"00-0034796"
"86","Latavius","Murray","NO","RB",168.6,0.4,"00-0030513"
"87","Laviska","Shenault","JAX","WR",99.3,3.4,"00-0036268"
"88","Leonard","Fournette","TB","RB",98,3.3,"00-0033856"
"89","Logan","Thomas","WAS","TE",73.3,5.3,"00-0031260"
"90","Malcolm","Brown","LA","RB",167.6,0.4,"00-0031806"
