"","player","gsis_id","games","total_rush_xfp","actual_rush_fp","exp_hPPR_pts","actual_catch_fp","total_xfp","actual_fp","total_xfp_pg"
"1","A.Dillon","00-0036265",9,23.6471384101969,36.2,2.14690283119219,3.1,25.7940412413891,39.3,2.86600458237657
"2","A.Ekeler","00-0033699",10,63.4500763398876,59,68.2657449945466,79.3,131.715821334434,138.3,13.1715821334434
"3","A.Gibson","00-0036328",14,109.012788974346,145.5,44.3380278891317,42.7,153.350816863478,188.2,10.9536297759627
"4","A.Jones","00-0033293",14,128.300224399687,164.4,80.3315345815931,71,208.63175898128,235.4,14.9022684986629
"5","A.Kamara","00-0033906",15,128.421531482411,189.2,123.169811859339,147.1,251.59134334175,336.3,16.7727562227833
"6","A.Mattison","00-0034972",13,61.8081043925007,55.4,16.4734086287931,25,78.2815130212938,80.4,6.02165484779183
"7","A.McFarland","00-0036336",11,16.2134931084333,11.3,9.94769444465876,8.4,26.1611875530921,19.7,2.37828977755382
"8","A.Morris","00-0029141",9,28.3242718716023,29.8,4.48094887079755,9.4,32.8052207423998,39.2,3.64502452693331
"9","A.Peterson","00-0025394",16,109.459830553007,102.4,19.2540599930875,16.1,128.713890546095,118.5,8.04461815913092
"10","B.Hill","00-0033567",16,52.4299001932331,52.5,30.370177463286,32.4,82.8000776565191,84.9,5.17500485353244
"11","B.Scott","00-0034414",15,44.5124864384352,43.4,41.4484180789759,39.7,85.9609045174112,83.1,5.73072696782741
"12","B.Snell","00-0035217",15,91.0000364649298,60.8,17.6619928773007,11.1,108.662029342231,71.9,7.24413528948204
"13","C.Akers","00-0036414",11,93.6925291288946,74.5,19.6605213311839,23.8,113.353050460079,98.3,10.304822769098
"14","C.Carson","00-0033594",12,86.3527894343591,98.1,55.5974506161965,71.2,141.950240050556,169.3,11.8291866708796
"15","C.Clement","00-0033725",8,12.3376154462061,13.5,5.85909310675135,5,18.1967085529575,18.5,2.27458856911968
"16","C.Edmonds","00-0034681",16,52.3210892780034,50.8,81.414762387169,90.7,133.735851665172,141.5,8.35849072907327
"17","C.Edwards-Helaire","00-0036360",13,111.66578680871,104.3,59.412384003068,53.7,171.078170811778,158,13.1598592932137
"18","C.Hyde","00-0031045",10,49.7108786709454,59.6,19.1774723083769,17.3,68.8883509793223,76.9,6.88883509793223
"19","C.McCaffrey","00-0033280",3,40.1737280812696,52.5,20.3205251915439,29.1,60.4942532728135,81.6,20.1647510909378
"20","C.Newton","00-0027939",15,103.04403823959,107.7,2.52834581755169,10.5,105.572384057142,118.2,7.03815893714278
"21","C.Patterson","00-0030578",15,35.1957464895486,29.2,27.8551750645063,23.7,63.0509215540549,52.9,4.20339477027033
"22","C.Samuel","00-0033282",15,22.9155187873637,32,124.346433445213,141.9,147.261952232576,173.9,9.81746348217176
"23","D.Booker","00-0032972",15,48.959219666773,60.3,24.3548782128879,16.9,73.3140978796609,77.2,4.88760652531073
"24","D.Cook","00-0033893",14,219.562927894211,258.3,53.7240795261114,64.1,273.287007420322,322.4,19.520500530023
"25","D.Dallas","00-0036425",7,29.3894232635856,22.8,22.9725209659596,25.6,52.3619442295453,48.4,7.48027774707789
"26","D.Foreman","00-0033925",5,10.5971248380801,9.5,2.79235755764032,7,13.3894823957204,16.5,2.67789647914408
"27","D.Freeman","00-0031285",5,28.6800134810383,23.2,10.5635826006716,9.3,39.2435960817099,32.5,7.84871921634198
"28","D.Harris","00-0035657",10,77.6801232839083,81.1,7.73295352917989,7.7,85.4130768130882,88.8,8.54130768130882
"29","D.Henderson","00-0035664",15,94.9422897142175,92.4,30.0916447012288,29.5,125.033934415446,121.9,8.33559562769641
"30","D.Henry","00-0032764",16,240.359965516301,304.9,32.2216495587344,20.9,272.581615075036,325.8,17.0363509421897
"31","D.Johnson","00-0035628",7,15.9048124103384,16.6,4.09451383471114,2.9,19.9993262450495,19.5,2.85704660643564
"32","D.Lewis","00-0028087",12,21.7192873328294,23.5,32.9196603902261,28.2,54.6389477230556,51.7,4.55324564358796
"33","D.Montgomery","00-0035685",15,154.450620594314,155.2,77.7388016475858,82.8,232.189422241899,238,15.4792948161266
"34","D.Ogunbowale","00-0033854",7,17.1549146402328,14.5,20.4600230192571,10.4,37.6149376594899,24.9,5.37356252278427
"35","D.Singletary","00-0035250",16,90.8840208595731,80.7,54.9722642827904,45.9,145.856285142364,126.6,9.11601782139772
"36","D.Swift","00-0036275",13,80.4184564762607,100.1,67.1270952901909,70.7,147.545551766452,170.8,11.3496578281886
"37","D.Thompson","00-0035148",5,15.7496101158264,15.7,11.8695192051387,16,27.6191293209651,31.7,5.52382586419302
"38","D.Washington","00-0032940",4,21.1836935088131,9.1,9.47255290459709,4.8,30.6562464134102,13.9,7.66406160335255
"39","D.Washington","00-0032940",4,21.1836935088131,9.1,1.56014409908487,0.7,22.743837607898,9.8,5.68595940197449
"40","Da.Johnson","00-0032187",12,98.916349376164,105.1,35.9255374338291,30.1,134.841886809993,135.2,11.2368239008328
"41","Darr.Williams","00-0034301",12,19.5829533948843,22.9,27.0868285557674,20.6,46.6697819506517,43.5,3.88914849588764
"42","E.Elliott","00-0033045",15,177.966962262158,133.9,71.1298431436795,71.8,249.096805405837,205.7,16.6064536937225
"43","F.Gore","00-0023500",15,105.952482333217,77.3,20.5255214851545,16.9,126.478003818371,94.2,8.43186692122474
"44","G.Bernard","00-0030456",15,71.5619559864686,59.6,64.6086842631412,77,136.17064024961,136.6,9.07804268330732
"45","G.Edwards","00-0034184",16,96.6471402685893,108.3,14.2360581004074,17.4,110.883198368997,125.7,6.93019989806229
"46","I.Smith","00-0034378",12,34.994669988307,32.8,29.7996619634605,16,64.7943319517675,48.8,5.39952766264729
"47","J.Adams","00-0034457",6,23.7290722061671,27.7,7.74639690543523,5.9,31.4754691116024,33.6,5.24591151860039
"48","J.Allen","00-0034857",15,45.6240377284742,57.1,1.14181412180921,7.7,46.7658518502835,64.8,3.11772345668556
"49","J.Conner","00-0033553",13,106.507378262295,108.1,48.9691035000235,39,155.476481762319,147.1,11.9597293663322
"50","J.Dobbins","00-0036158",15,87.7269082610253,134.7,26.4009583970231,21,114.127866658048,155.7,7.60852444386989
"51","J.Hasty","00-0035806",6,25.180603900262,20.8,7.62587247211986,6.8,32.8064763723818,27.6,5.46774606206364
"52","J.Howard","00-0032780",7,39.1427351405594,30,1.19829315959701,0.2,40.3410283001564,30.2,5.76300404287948
"53","J.Hurts","00-0036389",11,24.2315264360201,19.3,0.949203347566435,0.8,25.1807297835865,20.1,2.28915725305332
"54","J.Jackson","00-0034440",8,29.089382825288,27,23.473300551975,26.8,52.562683377263,53.8,6.57033542215787
"55","J.Jacobs","00-0035700",15,184.221256748973,178.5,49.0163413501087,40.3,233.237598099081,218.8,15.5491732066054
"56","J.Kelley","00-0036370",12,69.0804395611471,47.4,23.9649359417733,26.3,93.0453755029205,73.7,7.75378129191004
"57","J.McKinnon","00-0031376",13,51.739523705352,61.9,51.0445020460962,47.8,102.784025751448,109.7,7.90646351934217
"58","J.McKissic","00-0032602",16,48.3699567703856,42.5,117.435918035538,110.9,165.805874805924,153.4,10.3628671753702
"59","J.McNichols","00-0033955",12,26.9882659518219,26.4,18.6113570826762,11.5,45.599623034498,37.9,3.79996858620817
"60","J.Mixon","00-0033897",6,70.8125202107329,60.8,28.5542937418767,30.3,99.3668139526096,91.1,16.5611356587683
"61","J.Richard","00-0033025",10,12.0848572961372,18.3,25.2490085157444,23.3,37.3338658118816,41.6,3.73338658118816
"62","J.Robinson","00-0035831",14,135.324624307412,149.2,63.7657328682906,76.9,199.090357175703,226.1,14.2207397982645
"63","J.Taylor","00-0036096",5,11.9228013029963,11,2.61355357473795,0.9,14.5363548777342,11.9,2.90727097554685
"64","J.Taylor","00-0036223",15,150.009954062583,188.9,39.0798483523733,53.9,189.089802414956,242.8,12.6059868276637
"65","J.White","00-0031062",14,20.9960979321622,24.1,63.2742342316839,68,84.2703321638461,92.1,6.01930944027472
"66","J.Wilkins","00-0034400",12,51.529384858176,37,17.4696389781603,16.5,68.9990238363363,53.5,5.74991865302803
"67","J.Williams","00-0033948",14,80.3910832908466,62.9,38.1304123958238,45.1,118.52149568667,108,8.46582112047646
"68","J.Wilson","00-0034115",11,84.8253143175564,102,33.5135137118101,37.8,118.338828029367,139.8,10.758075275397
"69","K.Ballage","00-0034799",10,65.1917695542211,48.3,27.0283617360718,19.9,92.2201312902929,68.2,9.22201312902929
"70","K.Ballage","00-0034799",10,65.1917695542211,48.3,11.9953339089452,11.2,77.1871034631663,59.5,7.71871034631663
"71","K.Drake","00-0033118",15,175.785510739301,155.5,31.8374021694576,26.2,207.622912908758,181.7,13.8415275272505
"72","K.Hunt","00-0033923",16,125.117670965577,120.1,63.0095482802019,79.4,188.127219245779,199.5,11.7579512028612
"73","K.Johnson","00-0034349",11,32.7464184170332,30.1,27.3148268195219,34.2,60.0612452365551,64.3,5.46011320332319
"74","K.Vaughn","00-0036450",5,13.7596091889663,10.9,11.6325036522312,11.9,25.3921128411975,22.8,5.0784225682395
"75","L.Bell","00-0030496",11,47.2089406225934,37.6,19.305701093112,16.4,66.5146417157054,54,6.04678561051867
