"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","scaled_wopr"
"1","DK Metcalf","WR","SEA",41,22,496,717,118,5,17.5,0.69,0.5,0.25,0.73,100
"2","Adam Thielen","WR","MIN",48,32,415,696,59,7,14.5,0.6,0.41,0.29,0.72,98.6
"3","Marquise Brown","WR","BAL",42,26,376,673,101,1,16,0.56,0.45,0.26,0.71,97.3
"4","DeAndre Hopkins","WR","ARI",61,47,601,494,258,2,8.1,1.22,0.31,0.32,0.7,95.9
"5","Terry McLaurin","WR","WAS",56,36,487,562,266,1,10,0.87,0.42,0.26,0.69,94.5
"6","Jamison Crowder","WR","NYJ",46,29,383,367,194,2,8,1.04,0.28,0.32,0.67,91.8
"7","Keenan Allen","WR","LAC",49,34,356,410,157,2,8.4,0.87,0.29,0.3,0.66,90.4
"8","Stefon Diggs","WR","BUF",58,42,555,637,93,3,11,0.87,0.35,0.27,0.66,90.4
"9","Allen Robinson","WR","CHI",65,40,474,665,129,2,10.2,0.71,0.34,0.28,0.65,89
"10","Darius Slayton","WR","NYG",44,25,406,559,75,3,12.7,0.73,0.43,0.23,0.65,89
"11","D.J. Moore","WR","CAR",47,27,474,559,146,1,11.9,0.85,0.41,0.24,0.64,87.7
"12","Robby Anderson","WR","CAR",51,40,566,503,237,1,9.9,1.13,0.37,0.26,0.64,87.7
"13","Calvin Ridley","WR","ATL",56,35,546,836,98,5,14.9,0.65,0.38,0.24,0.62,84.9
"14","Davante Adams","WR","GB",30,23,253,252,82,2,8.4,1,0.26,0.29,0.62,84.9
"15","Julian Edelman","WR","NE",36,20,302,386,63,0,10.7,0.78,0.38,0.24,0.62,84.9
"16","Odell Beckham Jr.","WR","CLE",40,23,319,531,45,3,13.3,0.6,0.37,0.24,0.62,84.9
"17","Travis Fulgham","WR","PHI",25,18,284,304,60,3,12.2,0.93,0.31,0.25,0.59,80.8
"18","Kenny Golladay","WR","DET",21,14,224,282,36,2,13.4,0.79,0.35,0.23,0.58,79.5
"19","Will Fuller","WR","HOU",43,28,455,610,96,4,14.2,0.75,0.33,0.22,0.56,76.7
"20","Parris Campbell","WR","IND",9,6,71,104,21,0,11.6,0.68,0.37,0.2,0.55,75.3
"21","A.J. Brown","WR","TEN",24,17,177,233,50,3,9.7,0.76,0.3,0.22,0.54,74
"22","Amari Cooper","WR","DAL",65,46,503,569,177,2,8.8,0.88,0.27,0.23,0.53,72.6
"23","Cooper Kupp","WR","LA",44,31,378,316,223,2,7.2,1.2,0.24,0.24,0.53,72.6
"24","Jeff Smith","WR","NYJ",24,11,112,319,28,0,13.3,0.35,0.3,0.21,0.53,72.6
"25","Marquez Valdes-Scantling","WR","GB",30,15,242,556,69,1,18.5,0.44,0.36,0.18,0.53,72.6
"26","Robert Woods","WR","LA",42,27,329,343,195,3,8.2,0.96,0.26,0.23,0.53,72.6
"27","Emmanuel Sanders","WR","NO",36,26,304,322,52,2,8.9,0.94,0.3,0.21,0.52,71.2
"28","Justin Jefferson","WR","MIN",36,28,537,469,174,3,13,1.14,0.28,0.21,0.52,71.2
"29","Tyler Lockett","WR","SEA",38,30,342,345,103,4,9.1,0.99,0.24,0.23,0.52,71.2
"30","Tyreek Hill","WR","KC",38,25,384,580,110,4,15.3,0.66,0.36,0.18,0.52,71.2
"31","A.J. Green","WR","CIN",45,22,215,659,38,0,14.6,0.33,0.33,0.19,0.51,69.9
"32","Damiere Byrd","WR","NE",26,17,217,334,48,0,12.8,0.65,0.33,0.17,0.49,67.1
"33","Brandin Cooks","WR","HOU",40,27,367,456,105,2,11.4,0.8,0.25,0.2,0.48,65.8
"34","Corey Davis","WR","TEN",20,15,206,198,63,1,9.9,1.04,0.25,0.2,0.48,65.8
"35","DeVante Parker","WR","MIA",40,29,364,389,80,2,9.7,0.94,0.26,0.2,0.48,65.8
"36","D.J. Chark","WR","JAC",34,25,265,431,41,3,12.7,0.61,0.28,0.18,0.47,64.4
"37","Diontae Johnson","WR","PIT",28,15,147,244,70,1,8.7,0.6,0.25,0.2,0.47,64.4
"38","Michael Thomas","WR","NO",5,3,17,44,2,0,8.8,0.39,0.31,0.17,0.47,64.4
"39","T.Y. Hilton","WR","IND",36,20,242,424,57,0,11.8,0.57,0.29,0.18,0.47,64.4
"40","Jerry Jeudy","WR","DEN",31,17,266,429,79,1,13.8,0.62,0.24,0.19,0.46,63
"41","Mike Williams","WR","LAC",22,12,209,379,43,2,17.2,0.55,0.31,0.16,0.46,63
"42","Tim Patrick","WR","DEN",29,20,310,474,53,2,16.3,0.65,0.27,0.18,0.46,63
"43","Tyler Boyd","WR","CIN",48,37,416,448,111,1,9.3,0.93,0.22,0.2,0.46,63
"44","DeSean Jackson","WR","PHI",20,10,121,338,21,0,16.9,0.36,0.31,0.16,0.45,61.6
"45","Jarvis Landry","WR","CLE",32,24,319,319,91,0,10,1,0.22,0.19,0.44,60.3
