"","full_name","team","team_dropbacks_pg","team_anya","dbpg_against_nfl_avg","anya_against_nfl_avg","wopr","dropback_adj_wopr","anya_adj_wopr","double_adj_wopr"
"1","DeAndre Hopkins","ARI",35.33,6.68,0.94,0.97,0.7,0.66,0.68,0.64
"2","Christian Kirk","ARI",35.33,6.68,0.94,0.97,0.43,0.41,0.42,0.39
"3","Larry Fitzgerald","ARI",35.33,6.68,0.94,0.97,0.29,0.27,0.28,0.27
"4","Andy Isabella","ARI",35.33,6.68,0.94,0.97,0.23,0.22,0.22,0.21
"5","Trent Sherfield","ARI",35.33,6.68,0.94,0.97,0.03,0.03,0.03,0.03
"6","KeeSean Johnson","ARI",35.33,6.68,0.94,0.97,0.3,0.28,0.29,0.28
"7","Christian Blake","ATL",42.83,7.5,1.14,1.09,0.07,0.08,0.08,0.09
"8","Julio Jones","ATL",42.83,7.5,1.14,1.09,0.44,0.5,0.48,0.55
"9","Brandon Powell","ATL",42.83,7.5,1.14,1.09,0.07,0.08,0.08,0.09
"10","Calvin Ridley","ATL",42.83,7.5,1.14,1.09,0.62,0.71,0.68,0.77
"11","Olamide Zaccheaus","ATL",42.83,7.5,1.14,1.09,0.21,0.24,0.23,0.26
"12","Russell Gage","ATL",42.83,7.5,1.14,1.09,0.31,0.35,0.34,0.39
"13","Devin Duvernay","BAL",30,6.8,0.8,0.99,0.13,0.1,0.13,0.1
"14","Marquise Brown","BAL",30,6.8,0.8,0.99,0.71,0.57,0.7,0.56
"15","Willie Snead","BAL",30,6.8,0.8,0.99,0.19,0.15,0.19,0.15
"16","Miles Boykin","BAL",30,6.8,0.8,0.99,0.27,0.22,0.27,0.21
"17","James Proche","BAL",30,6.8,0.8,0.99,0,0,0,0
"18","Stefon Diggs","BUF",38.67,8.07,1.03,1.17,0.66,0.68,0.78,0.8
"19","Gabriel Davis","BUF",38.67,8.07,1.03,1.17,0.22,0.23,0.26,0.27
"20","Cole Beasley","BUF",38.67,8.07,1.03,1.17,0.38,0.39,0.45,0.46
"21","Andre Roberts","BUF",38.67,8.07,1.03,1.17,0.04,0.04,0.05,0.05
"22","Isaiah McKenzie","BUF",38.67,8.07,1.03,1.17,0.09,0.09,0.11,0.11
"23","John Brown","BUF",38.67,8.07,1.03,1.17,0.43,0.44,0.51,0.52
"24","D.J. Moore","CAR",36.33,7.21,0.97,1.05,0.64,0.62,0.67,0.65
"25","Keith Kirkwood","CAR",36.33,7.21,0.97,1.05,0.21,0.2,0.22,0.21
"26","Brandon Zylstra","CAR",36.33,7.21,0.97,1.05,0,0,0,0
"27","Curtis Samuel","CAR",36.33,7.21,0.97,1.05,0.29,0.28,0.3,0.3
"28","Pharoh Cooper","CAR",36.33,7.21,0.97,1.05,0.01,0.01,0.01,0.01
"29","Seth Roberts","CAR",36.33,7.21,0.97,1.05,0.07,0.07,0.07,0.07
"30","Robby Anderson","CAR",36.33,7.21,0.97,1.05,0.64,0.62,0.67,0.65
"31","Cordarrelle Patterson","CHI",41.33,5.5,1.1,0.8,0.07,0.08,0.06,0.06
"32","Javon Wims","CHI",41.33,5.5,1.1,0.8,0.05,0.06,0.04,0.04
"33","Ted Ginn","CHI",41.33,5.5,1.1,0.8,0.09,0.1,0.07,0.08
"34","Anthony Miller","CHI",41.33,5.5,1.1,0.8,0.27,0.3,0.22,0.24
"35","Allen Robinson","CHI",41.33,5.5,1.1,0.8,0.65,0.72,0.52,0.57
"36","Darnell Mooney","CHI",41.33,5.5,1.1,0.8,0.34,0.38,0.27,0.3
"37","A.J. Green","CIN",44.67,5.81,1.19,0.85,0.51,0.61,0.43,0.51
"38","Tyler Boyd","CIN",44.67,5.81,1.19,0.85,0.46,0.55,0.39,0.46
"39","John Ross","CIN",44.67,5.81,1.19,0.85,0.19,0.23,0.16,0.19
"40","Alex Erickson","CIN",44.67,5.81,1.19,0.85,0.02,0.02,0.02,0.02
"41","Tee Higgins","CIN",44.67,5.81,1.19,0.85,0.39,0.47,0.33,0.39
"42","Mike Thomas","CIN",44.67,5.81,1.19,0.85,0.12,0.14,0.1,0.12
"43","Auden Tate","CIN",44.67,5.81,1.19,0.85,0.1,0.12,0.08,0.1
"44","Odell Beckham Jr.","CLE",32,5.97,0.85,0.87,0.62,0.53,0.54,0.46
"45","JoJo Natson","CLE",32,5.97,0.85,0.87,0,0,0,0
"46","Taywan Taylor","CLE",32,5.97,0.85,0.87,0,0,0,0
"47","Donovan Peoples-Jones","CLE",32,5.97,0.85,0.87,0.02,0.02,0.02,0.01
"48","KhaDarel Hodge","CLE",32,5.97,0.85,0.87,0.22,0.19,0.19,0.16
"49","Rashard Higgins","CLE",32,5.97,0.85,0.87,0.15,0.13,0.13,0.11
"50","Jarvis Landry","CLE",32,5.97,0.85,0.87,0.44,0.38,0.38,0.33
"51","Amari Cooper","DAL",50.5,7.26,1.35,1.06,0.53,0.71,0.56,0.75
"52","Malik Turner","DAL",50.5,7.26,1.35,1.06,0,0,0,0
"53","Michael Gallup","DAL",50.5,7.26,1.35,1.06,0.35,0.47,0.37,0.5
"54","Ced Wilson","DAL",50.5,7.26,1.35,1.06,0.16,0.22,0.17,0.23
"55","Noah Brown","DAL",50.5,7.26,1.35,1.06,0.1,0.13,0.11,0.14
"56","CeeDee Lamb","DAL",50.5,7.26,1.35,1.06,0.41,0.55,0.43,0.58
"57","Tim Patrick","DEN",36.2,5.04,0.97,0.73,0.46,0.44,0.34,0.33
"58","Tyrie Cleveland","DEN",36.2,5.04,0.97,0.73,0.01,0.01,0.01,0.01
"59","Jerry Jeudy","DEN",36.2,5.04,0.97,0.73,0.46,0.44,0.34,0.33
"60","K.J. Hamler","DEN",36.2,5.04,0.97,0.73,0.28,0.27,0.21,0.2
"61","DaeSean Hamilton","DEN",36.2,5.04,0.97,0.73,0.21,0.2,0.15,0.15
"62","Diontae Spencer","DEN",36.2,5.04,0.97,0.73,0.04,0.04,0.03,0.03
"63","Courtland Sutton","DEN",36.2,5.04,0.97,0.73,0.34,0.33,0.25,0.24
"64","Jamal Agnew","DET",35.8,6.93,0.96,1.01,0.09,0.09,0.09,0.09
