first_name,last_name,team,position,adp,avg_price
Christian,McCaffrey,Car,RB,1.4,72.2
Dalvin,Cook,Min,RB,2.7,67.3
Alvin,Kamara,NO,RB,4.2,65.2
Derrick,Henry,Ten,RB,4.4,64.9
Saquon,Barkley,NYG,RB,7,57.8
Davante,Adams,GB,WR,7.8,56.3
Travis,Kelce,KC,TE,8,55.3
Ezekiel,Elliott,Dal,RB,8.8,55.4
Tyreek,Hill,KC,WR,11.5,51.6
Aaron,Jones,GB,RB,12.2,50.5
Nick,Chubb,Cle,RB,12.4,50.7
Jonathan,Taylor,Ind,RB,12.4,49.6
Austin,Ekeler,LAC,RB,14.4,47.5
Stefon,Diggs,Buf,WR,16.1,44.9
Najee,Harris,Pit,RB,18.1,45.7
DeAndre,Hopkins,Ari,WR,18.2,41.7
DK,Metcalf,Sea,WR,18.8,40.6
Antonio,Gibson,Wsh,RB,19.1,43.4
Patrick,Mahomes,KC,QB,19.4,34.2
Calvin,Ridley,Atl,WR,20,39.6
Darren,Waller,LV,TE,25.1,33
A.J.,Brown,Ten,WR,25.5,33.7
Justin,Jefferson,Min,WR,25.8,35
Joe,Mixon,Cin,RB,26.2,35
George,Kittle,SF,TE,27.8,30.4
Keenan,Allen,LAC,WR,29.3,29.9
Clyde,Edwards-Helaire,KC,RB,29.5,33.2
Terry,McLaurin,Wsh,WR,30.1,29.1
Josh,Allen,Buf,QB,30.2,23.7
Allen,Robinson,Chi,WR,34.1,26.3
Mike,Evans,TB,WR,34.3,23.6
CeeDee,Lamb,Dal,WR,36.4,27.4
David,Montgomery,Chi,RB,36.5,25.7
James,Robinson,Jax,RB,37.2,25.3
Miles,Sanders,Phi,RB,38.9,23.6
Robert,Woods,LAR,WR,39.4,21.3
Kyler,Murray,Ari,QB,40.9,16.3
Amari,Cooper,Dal,WR,41.1,20.1
Josh,Jacobs,LV,RB,43.8,20.2
Chris,Carson,Sea,RB,44.5,21.8
Adam,Thielen,Min,WR,46.2,19
Lamar,Jackson,Bal,QB,47,14.5
Chris,Godwin,TB,WR,47.3,18.1
D'Andre,Swift,Det,RB,48.1,19.2
Mark,Andrews,Bal,TE,49.2,11.5
Tyler,Lockett,Sea,WR,49.5,16.8
Aaron,Rodgers,GB,QB,49.8,12.7
Julio,Jones,Ten,WR,50.6,17.4
Cooper,Kupp,LAR,WR,50.7,16.8
Kyle,Pitts,Atl,TE,52.7,12.8
Diontae,Johnson,Pit,WR,56.8,13.5
Russell,Wilson,Sea,QB,58.3,11.1
Dak,Prescott,Dal,QB,58.5,10.2
D.J.,Moore,Car,WR,59.2,12.9
T.J.,Hockenson,Det,TE,62.2,8
Kareem,Hunt,Cle,RB,63.1,11.2
Chase,Edmonds,Ari,RB,63.9,10.7
Brandon,Aiyuk,SF,WR,64.6,11.8
Tee,Higgins,Cin,WR,66.3,10.2
Justin,Herbert,LAC,QB,68,8.7
Tom,Brady,TB,QB,69.6,7.4
